Leeres Template für das Deckblatt Konkurrenzvergleich des Monatsreports

Die Variable data muss mit dem Output von perl/konkurrenzvergleich_html.pl > tmp.txt aktualisiert werden.

Data!
 	A	B	C	D	E	F	G	H	I	J	K	L	M	N
1	 	 	Unique Clients	Visits	Page Impressionss	 	Ratios
2	 	 	2016	2017	%YOY	2016	2017	%YOY	2016	2017	%YOY	 	Visits/UC	PIs/Visit
6	 	20 min	4646000	4729000	1.79%	80436495	88519071	10.05%	885566910	874322806	-1.27%	 	18.72	9.88
7	 	Blick	4386000	4525000	3.17%	59333530	59629542	0.50%	758698604	736460785	-2.93%	 	13.18	12.35
8	 	Neue Zuercher Zeitung	2232000	2995000	34.18%	10406145	13636233	31.04%	36932997	53091709	43.75%	 	4.55	3.89
9	 	NZZ-Netz	3659000	4568000	24.84%	20278640	25859787	27.52%	87398667	118258766	39.10%	 	5.66	4.57
10	 	Tagesanzeiger	2134000	2125000	-0.42%	15190303	13752604	-9.46%	72541015	67562936	-6.86%	 	6.47	4.91
11	 	Newsnet DCH	2943000	3061000	4.01%	22696867	21655251	-4.59%	115293681	110291447	-4.34%	 	7.07	5.09
12	 	Watson	1168000	1310000	12.16%	8726107	9591057	9.91%	80274964	75237241	-6.28%	 	7.32	7.84
13	 	az Nordwestschweiz	1141000	1028000	-9.90%	5257116	4891807	-6.95%	26447120	29485727	11.49%	 	4.76	6.03
14	 	BAZ	454000	597000	31.50%	3576544	3949567	10.43%	19659600	20194378	2.72%	 	6.62	5.11
15	 	Neue Luzerner Zeitung	491000	701000	42.77%	2832025	3626525	28.05%	12120207	13282428	9.59%	 	5.17	3.66
16	 	St. Galler Tagblatt	516000	633000	22.67%	2012720	2621369	30.24%	9515178	13792132	44.95%	 	4.14	5.26
17	 	ZSZ	65000	78000	20.00%	141125	185593	31.51%	379962	610963	60.80%	 	2.38	3.29
18	 	Zuonline	61000	52000	-14.75%	111810	106934	-4.36%	263070	315627	19.98%	 	2.06	2.95
19	 	Der Landbote	87000	99000	13.79%	174677	238674	36.64%	431762	731354	69.39%	 	2.41	3.06
23	 	 										 		
24	 	familienleben.ch	256000	247000	-3.52%	365179	345809	-5.30%	729708	686802	-5.88%	 	1.40	1.99
25	 	swissmom.ch	290000	369000	27.24%	780361	978542	25.40%	2798969	3238737	15.71%	 	2.65	3.31
26	 	Wir Eltern	119000	159000	33.61%	162326	228976	41.06%	353618	891850	152.21%	 	1.44	3.89
27	 	Wildeisen's Kochen	268000	383000	42.91%	505099	739396	46.39%	1700399	2090053	22.92%	 	1.93	2.83
28	 	saison.ch	320000			465552			855018			 	-	-
29	 	lemenu.ch	26000			41876			179781			 	-	-
30	 	 										 		
34	 	TeleBaern	29000	36000	24.14%	43647	53846	23.37%	97535	104068	6.70%	 	1.50	1.93
35	 	TeleM1	42000	44000	4.76%	68556	72380	5.58%	145893	143677	-1.52%	 	1.65	1.99
36	 	TeleZueri	83000	101000	21.69%	181208	207132	14.31%	411307	459938	11.82%	 	2.05	2.22
37	 	TV24	12000	16000	33.33%	17697	23494	32.76%	48528	70307	44.88%	 	1.47	2.99
20	 	 										 		
41	 	Radio 24	31000	44000	41.94%	130671	178526	36.62%	342380	627665	83.32%	 	4.06	3.52
42	 	Argovia	30000	50000	66.67%	109019	187157	71.67%	235550	673499	185.93%	 	3.74	3.60
43	 	Energy.ch	326000	341000	4.60%	1934473	1741413	-9.98%	13432566	7879068	-41.34%	 	5.11	4.52
44	 	Radio Pilatus	90000	121000	34.44%	200764	311440	55.13%	356111	602066	69.07%	 	2.57	1.93
45	 	FM1 Today	174000	219000	25.86%	660391	1108184	67.81%	2383165	5845607	145.29%	 	5.06	5.27
20	 	 										 		
47	 	a-z Jobs										 		
