Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
1815.ch;148000;717630;90-94%;0:04:06;1744697;;364;1815ch;
1815.ch - rz-online.ch;;;;;;;;1815ch;
1815.ch - walliserbote.ch;;;;;;;;1815ch;
20 Minuten Friday;964000;2734739;90-94%;0:01:46;4335955;;467;frimag;
20 Minuten Tilllate;1357000;4438170;90-94%;0:01:25;36015153;;79;tilllate;
20 minutes Friday;297000;1041038;90-94%;0:02:30;1394646;;481;frimagfr;
20min.ch - D-CH;4871000;90557303;90-94%;0:07:19;1099342015;;136;20minde;
20min.ch - W-CH;1820000;29527481;85-89%;0:07:12;248810828;;220;20minro;
24heures.ch;914000;4102163;80-84%;0:03:50;16066869;;256;24heures;
24heures.ch - Hommages.ch;;;;;;;;24heures;
3plus.tv;81000;167625;80-84%;0:06:24;593411;;400;3plus;
3plus.tv - 4plus.tv;;;;;;;;3plus;
3plus.tv - 5plus.tv;;;;;;;;3plus;
Accrowin.ch;16000;69154;90-94%;0:10:40;745192;;506;accrowin;
Anibis.ch;1832000;8146831;85-89%;0:08:15;100047323;;431;anibis;
Anibis.ch - gratis-inserate.ch;;;;;;;;anibis;
annabelle.ch;210000;348375;65-69%;0:02:15;1369773;;224;annabe;
annabelle.ch - eBalance;;;;;;;;annabe;
arcinfo.ch;272000;1303906;85-89%;0:04:49;8897779;;295;arcinfo;
arcinfo.ch - pilote.ch;;;;;;;;arcinfo;
argovia.ch;36000;126107;90-94%;0:04:13;292296;;480;argovia;
argovia.ch - argoviafaescht.ch;;;;;;;;argovia;
argovia.ch - bigprize.ch;;;;;;;;argovia;
argovia.ch - wallstreet24.ch ;;;;;;;;argovia;
aufeminin.ch,gofeminin.ch,alfemminile.ch;1472000;2959808;75-79%;0:02:36;12180233;;320;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - alfemminile.ch ;;;;;512'112;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - aufeminin.ch;;;;;2'994'126;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - gofeminin.ch;;;;;3'714'004;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - marmiton;;;;;2'162'927;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - onmeda;;;;;749'528;;;aufemin;
Ausflugsziele.ch;116000;152276;85-89%;0:03:48;1140176;;232;ausfz;
AutoScout24;2179000;13447008;80-84%;0:10:10;203963543;;373;autosct;
AutoScout24 - Anibis;;;;;;;;autosct;
avguide.ch;26000;64103;25-49%;0:03:34;182176;;252;avguide;
baslerzeitung.ch;614000;3986441;75-79%;0:06:00;22504591;;13;baz;
Beobachter;932000;1454535;80-84%;0:03:58;2571729;;9;beobacht;
Beobachter - Community;;;;;;;;beobacht;
Beobachter - Gesundheit;;;;;;;;beobacht;
Beobachter - Guider;;;;;;;;beobacht;
Beobachter - HelpOnline;;;;;;;;beobacht;
Beobachter - Magazin;;;;;;;;beobacht;
Beobachter - Natur;;;;;;;;beobacht;
bernerzeitung.ch;802000;3790993;90-94%;0:04:01;16898904;;254;bernerz;
bernerzeitung.ch - berneroberlaender.ch    ;;;;;;;;bernerz;
bernerzeitung.ch - langenthalertagblatt.ch;;;;;;;;bernerz;
bernerzeitung.ch - thunertagblatt.ch;;;;;;;;bernerz;
Bielertagblatt.ch;77000;188261;80-84%;0:03:11;561556;;17;bielertb;
Bilan;267000;451101;25-49%;0:04:07;741113;;85;bilan;
bilanz.ch;182000;286716;60-64%;0:02:35;1099364;;10;bilanz;
Blick am Abend;1325000;5815940;90-94%;0:03:17;19119965;;446;baaonl;
Blick Online;4840000;62759227;85-89%;0:06:10;779164805;;183;blickonl;
Bluewin;2971000;39408703;90-94%;0:08:38;264031114;;204;bluewin;
Bonresto.ch;19000;22556;90-94%;0:02:32;56304;;61;bonrest;
caffe.ch;20000;34461;70-74%;0:04:03;66793;;408;caffe;
canal3.ch;7000;15914;90-94%;0:03:31;33351;;436;canal3;
cash/borsalino.ch;384000;3273204;85-89%;0:07:10;14498594;;115;cash;
Cineman.ch;872000;1771945;90-94%;0:04:16;7784556;;275;cineman;
Cineman.ch - cine.ch;;;;;;;;cineman;
comparis.ch;1795000;6978695;90-94%;0:06:05;98113446;;111;comparis;
Computerworld Online;45000;88247;65-69%;0:02:58;190496;;181;idgcompu;
Coopzeitung.ch;287000;496854;85-89%;0:03:12;1737659;;473;coopz;
Corriere del Ticino;276000;1716928;75-79%;0:04:12;8433925;;99;cdt;
Der Landbote;99000;198573;80-84%;0:02:58;502525;;74;winti;
derbund.ch;537000;2348330;85-89%;0:05:30;11919860;;304;derbund;
doodle.com;1557000;5352863;90-94%;0:05:19;10282453;;288;doodle;
energy.ch;296000;1777271;85-89%;0:05:53;7737495;;244;energyzh;
events.ch;44000;52274;90-94%;0:02:17;171413;;433;events;
familienleben.ch;329000;476151;60-64%;0:02:37;940546;;339;famleben;
Femina.ch;199000;355407;55-59%;0:02:00;1419192;;180;femina;
femininleben.ch;253000;335556;25-49%;0:02:05;1226524;;461;femleb;
finanzen.ch;566000;2646395;85-89%;0:05:26;10401984;;417;finanzen;
finews.ch;165000;594008;70-74%;0:05:05;1233567;;361;finews;
FIT for LIFE;13000;18804;65-69%;0:03:37;39451;;296;fitlife;
flughafen-zuerich.ch;431000;882368;65-69%;0:05:15;2115143;;279;flughafe;
FM1Today;229000;1004046;90-94%;0:02:57;4595127;;483;fm1today;
freiburger-nachrichten.ch;45000;116501;85-89%;0:03:38;321256;;374;freiburg;
